Subject,Course,Section,Student ID,Test,Consent,CAT Score,
APSC,100,200,10091057,MSLQ,2,,
APSC,100,200,10091143,MSLQ,2,,
APSC,100,200,10106263,MSLQ,2,,
APSC,100,200,10091049,MSLQ,2,,
APSC,100,200,10091499,MSLQ,2,,
APSC,100,200,10090700,MSLQ,2,,
APSC,100,200,10091309,MSLQ,2,,
APSC,100,200,10091270,MSLQ,2,,
APSC,100,200,10091999,MSLQ,2,,
APSC,100,200,10090852,MSLQ,2,,
APSC,100,200,10091776,MSLQ,2,,
APSC,100,200,10090736,MSLQ,2,,
APSC,100,200,10090792,MSLQ,2,,
APSC,100,200,10091573,MSLQ,2,,
APSC,100,200,10091405,MSLQ,2,,
APSC,100,200,10090703,MSLQ,2,,
APSC,100,200,10091501,MSLQ,2,,
APSC,100,200,10043514,MSLQ,2,,
APSC,100,200,10091819,MSLQ,2,,
APSC,100,200,10090826,MSLQ,2,,
APSC,100,200,10091320,MSLQ,2,,
APSC,100,200,10091606,MSLQ,2,,
APSC,100,200,10091233,MSLQ,2,,
APSC,100,200,10045100,MSLQ,2,,
APSC,100,200,10090830,MSLQ,2,,
APSC,100,200,10090550,MSLQ,2,,
APSC,100,200,10091028,MSLQ,2,,
APSC,100,200,10090872,MSLQ,2,,
APSC,100,200,10091521,MSLQ,2,,
APSC,100,200,10091031,MSLQ,2,,
APSC,100,200,10091456,MSLQ,2,,
APSC,100,200,10091043,MSLQ,2,,
APSC,100,200,10091453,MSLQ,2,,
APSC,100,200,10091073,MSLQ,2,,
APSC,100,200,10091503,MSLQ,2,,
APSC,100,200,10090677,MSLQ,2,,
APSC,100,200,10090735,MSLQ,2,,
APSC,100,200,10040450,MSLQ,2,,
APSC,100,200,10091659,MSLQ,2,,
APSC,100,200,10090839,MSLQ,2,,
APSC,100,200,10091594,MSLQ,3,,
APSC,100,200,10091680,MSLQ,3,,
APSC,100,200,10065226,MSLQ,3,,
APSC,100,200,10090869,MSLQ,3,,
APSC,100,200,10090532,MSLQ,3,,
APSC,100,200,10091801,MSLQ,3,,
APSC,100,200,10092016,MSLQ,3,,
APSC,100,200,10091738,MSLQ,3,,
APSC,100,201,10092800,CAT,2,25,
APSC,100,201,10092908,CAT,2,15,
APSC,100,201,10092278,CAT,2,15,
APSC,100,201,10092271,CAT,2,24,
APSC,100,201,10092894,CAT,2,26,
APSC,100,201,10092489,CAT,2,17,
APSC,100,201,10092444,CAT,2,27,
APSC,100,201,10092030,CAT,2,22,
APSC,100,201,10092486,CAT,2,22,
APSC,100,201,10093243,CAT,2,22,
APSC,100,201,10092863,CAT,2,23,
APSC,100,201,10092941,CAT,2,20,
APSC,100,201,10093244,CAT,2,22,
APSC,100,201,10092749,CAT,2,33,
APSC,100,201,10092292,CAT,2,18,
APSC,100,201,10092206,CAT,2,21,
APSC,100,201,10093008,CAT,2,26,
APSC,100,201,10092321,CAT,2,21,
APSC,100,201,10092362,CAT,2,16,
APSC,100,201,10092884,CAT,2,16,
APSC,100,201,10092035,CAT,2,20,
APSC,100,201,10092781,CAT,2,25,
APSC,100,201,10093019,CAT,2,27,
APSC,100,201,10092419,CAT,2,18,
APSC,100,201,10093005,CAT,2,27,
APSC,100,201,10092316,CAT,2,25,
APSC,100,201,10092924,CAT,2,27,
APSC,100,201,10092906,CAT,2,14,
APSC,100,201,10093249,CAT,2,22,
APSC,100,201,10092856,CAT,2,13,
APSC,100,201,10092302,CAT,2,25,
APSC,100,201,10092629,CAT,2,18,
APSC,100,201,10093180,CAT,2,24,
APSC,100,201,10092074,CAT,3,25,
APSC,100,201,10093164,CAT,3,26,
APSC,100,201,10092134,CAT,3,14,
APSC,100,201,10092231,CAT,3,28,
APSC,100,201,10093001,CAT,3,12,
APSC,100,201,10066086,CAT,3,16,
APSC,100,201,10092287,CAT,3,28,
APSC,100,201,10092437,CAT,3,21,
APSC,100,201,10108540,CAT,3,9,
APSC,100,201,10092340,CAT,3,22,
APSC,100,201,10093189,CAT,3,23,
APSC,100,201,10092804,CAT,3,32,
APSC,100,201,10092426,CAT,3,19,
APSC,100,201,10093135,CAT,3,17.67,
APSC,100,201,10092933,CAT,3,22,
APSC,100,201,10092876,CAT,3,19,
APSC,100,201,10093237,CAT,3,27,
APSC,100,202,10097576,CLA+,2,,
APSC,100,202,10094185,CLA+,2,,
APSC,100,202,10094808,CLA+,2,,
APSC,100,202,10093479,CLA+,2,,
APSC,100,202,10093450,CLA+,2,,
APSC,100,202,10093949,CLA+,2,,
APSC,100,202,10094241,CLA+,2,,
APSC,100,202,10094194,MSLQ,2,,
