Student ID,Section,Consent ,CAT Score
10122694,2,2,
10113938,5,2,
10113203,6,2,9
10111493,4,2,
10111346,7,2,16
10111238,3,3,
10111170,9,3,
10110515,7,2,
10110205,5,2,19
10110166,14,3,
10108778,3,3,16
10108598,14,2,13
10108549,6,3,
10108053,6,2,
10107515,12,3,
10107105,9,3,
10107009,4,3,14
10106555,5,3,9
10106507,5,2,15
10106330,4,3,25
10105799,4,3,
10105191,10,3,21.33
10104721,13,3,
10104709,11,3,21
10104625,2,3,
10104249,12,2,21
10103796,3,3,
10103695,7,3,17
10103412,12,3,
10103383,13,2,
10103241,2,2,13
10103015,9,2,
10102791,13,3,
10102153,14,2,
10101313,3,3,31
10100954,13,3,
10100842,9,2,
10100778,3,2,14
10099842,10,2,16
10099781,9,2,
10099465,3,2,13
10099407,10,2,14
10099170,13,2,
10099115,11,2,23
10098671,6,2,13
10098320,14,2,18.6
10097744,9,2,
10097707,2,2,25
10097406,3,2,
10097356,10,3,
10097300,9,2,
10097183,3,2,
10096173,14,2,
10096028,12,3,
10094762,7,2,
10094657,7,2,20
10094361,7,3,10
10094278,3,2,15
10093894,14,2,
10093700,7,2,21
10093486,10,2,
10093293,13,2,
10092802,6,3,19
10092680,5,2,
10092505,2,2,16
10092475,5,2,17
10092411,2,3,
10092349,5,2,16
10092342,3,2,17
10091739,10,3,
10091487,5,3,16
10091414,11,3,
10091135,6,2,
10090798,11,3,19
10090670,5,3,14
10090408,11,2,14
10089352,5,2,15
10089207,7,3,17
10086994,4,2,13.33
10086824,2,3,15
10086129,4,3,
10085346,11,2,
10085186,5,3,17
10084576,14,3,27
10072329,4,2,
10067942,12,2,9
10066850,2,2,14
10066620,7,3,20
10062330,2,3,
10056716,11,2,
10056438,11,2,
10056176,9,2,7
10055810,6,2,
10054257,4,2,
10053847,4,3,8
10050301,5,2,30
10049779,9,3,14
10048747,4,2,
10045478,3,2,11
10042867,14,3,18
10028120,4,2,
10026420,3,2,
10021376,11,2,
10011016,11,2,19
6328945,12,2,
6311385,2,2,
